Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Привод,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Kia Ceed I,485000,2009,193246,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104065331-4815c1d1/
Kia Ceed III,1410000,2019,55285,универсал 5 дв.,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103564509-0a6dd5f8/
Kia Ceed I,350000,2008,205657,хэтчбек 5 дв.,красный,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104072984-529550b5/
Kia Ceed II,920000,2014,29234,хэтчбек 5 дв.,серебристый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103551430-28e45dd6/
Kia Ceed I,539000,2010,131000,универсал 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104049384-959a7aed/
Kia Ceed III,1525000,2020,13225,универсал 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103677634-b3681e32/
Kia Ceed I Рестайлинг,560000,2010,120000,хэтчбек 5 дв.,серебристый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059121-f8a9dc2d/
Kia Ceed II Рестайлинг,845000,2016,109000,универсал 5 дв.,красный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103997356-06a511bd/
Kia Ceed I Рестайлинг,555000,2011,158612,хэтчбек 5 дв.,серебристый,2.0,143,Бензин,5005,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104059040-e177e13d/
Kia Ceed I,429000,2008,133000,хэтчбек 5 дв.,зелёный,1.6,115,Бензин,2875,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103861770-42697c8e/
Kia Ceed III,1574000,2020,27600,хэтчбек 5 дв.,коричневый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104057149-afd1d9c7/
Kia Ceed I,495000,2008,173787,универсал 5 дв.,голубой,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104073793-83357e27/
Kia Ceed I,325000,2009,167000,хэтчбек 3 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104072342-5cea7428/
Kia Ceed I,529000,2008,146091,хэтчбек 5 дв.,белый,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103902960-0a23b5d6/
Kia Ceed II Рестайлинг,1070000,2017,48725,хэтчбек 3 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103934353-234f3064/
Kia Ceed I Рестайлинг,555000,2011,152351,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104046988-338c53af/
Kia Ceed II,810000,2014,110296,хэтчбек 5 дв.,чёрный,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103905464-53271f2c/
Kia Ceed II Рестайлинг,885000,2017,57000,хэтчбек 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103031384-288648f3/
Kia Ceed II Рестайлинг,979000,2018,95695,хэтчбек 5 дв.,синий,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103046418-6b7ac0ad/
Kia Ceed II Рестайлинг,929000,2018,89250,универсал 5 дв.,серебристый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103776024-430eecd6/
Kia Ceed II Рестайлинг,725000,2018,174105,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103389897-34c1b9e4/
Kia Ceed II Рестайлинг,829000,2015,53000,хэтчбек 5 дв.,красный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103925872-e1637858/
