Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Привод,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес 
Kia Ceed II,550000,2014,158500,хэтчбек 5 дв.,белый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101885033-8da4a073/
,,2009,208000,хэтчбек 3 дв.,жёлтый,1.6,122,Бензин,4148,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104065591-6d3f47e6/
Kia Ceed II,670000,2013,171000,хэтчбек 3 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103274619-b9243ead/
Kia Ceed II,770000,2015,147400,универсал 5 дв.,красный,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103617006-cda15d87/
Kia Ceed I,499000,2009,210000,хэтчбек 3 дв.,белый,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104008275-293cf98c/
Kia Ceed II,800000,2013,189000,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103842134-33d83ed5/
Kia Ceed I,490000,2009,170000,универсал 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103213310-42e55c36/
Kia Ceed I Рестайлинг,540000,2011,160500,хэтчбек 3 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103912941-dca9462f/
Kia Ceed I Рестайлинг,460000,2010,128500,хэтчбек 5 дв.,синий,1.6,125,Бензин,3125,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103818466-56f036aa/
Kia Ceed III,1380000,2019,39000,универсал 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104017005-14bd7050/
Kia Ceed I,520000,2008,120641,хэтчбек 3 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102120189-d2126098/
Kia Ceed II Рестайлинг,875000,2016,73150,хэтчбек 5 дв.,красный,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102560847-cccc53b0/
Kia Ceed I,295000,2008,244066,хэтчбек 3 дв.,синий,2.0,143,Бензин,5005,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103823802-21884739/
Kia Ceed II,810000,2015,91000,универсал 5 дв.,красный,1.6,129,"Бензин, газобаллонное оборудование",4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103191041-d3bb3a1b/
Kia Ceed II Рестайлинг,940000,2018,82683,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103404693-19ac6b47/
Kia Ceed I Рестайлинг,650000,2011,230000,хэтчбек 3 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104033375-b47930bf/
Kia Ceed I Рестайлинг,420000,2011,155104,хэтчбек 5 дв.,серебристый,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103838306-b6a5034f/
Kia Ceed II Рестайлинг,940000,2018,89000,универсал 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103568825-665a3a93/
Kia Ceed II,800000,2015,137000,хэтчбек 5 дв.,коричневый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1087037707-07f2c15d/
Kia Ceed I,450000,2007,210000,универсал 5 дв.,бежевый,1.6,115,Бензин,2875,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1100212678-dfa8bbff/
Kia Ceed III,1100000,2018,126000,хэтчбек 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103975692-f2d3f911/
Kia Ceed I,510000,2009,143524,универсал 5 дв.,чёрный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103758162-8591cbd6/
Kia Ceed I,330000,2008,250000,универсал 5 дв.,серый,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104012595-28abcb78/
Kia Ceed II,800000,2014,78000,хэтчбек 3 дв.,красный,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103915832-9c415330/
Kia Ceed I,310000,2007,210000,хэтчбек 5 дв.,чёрный,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104035653-32a9e52c/
Kia Ceed II,730000,2014,146529,универсал 5 дв.,серебристый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103521964-390d963d/
Kia Ceed I,540000,2009,118000,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103828289-29abf77f/
Kia Ceed II,650000,2014,103000,хэтчбек 5 дв.,красный,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103022469-bbeadb6d/
Kia Ceed I Рестайлинг,569000,2010,189000,универсал 5 дв.,серый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103969489-c6a694dd/
Kia Ceed II Рестайлинг,900000,2016,111000,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104028904-de201b86/
Kia Ceed II,620000,2013,160000,хэтчбек 5 дв.,серый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103558435-0c00778c/
Kia Ceed II Рестайлинг,850000,2017,115512,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103666332-64a8ccdb/
Kia Ceed I,470000,2008,160500,хэтчбек 3 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103828504-b1b1d346/
Kia Ceed II,830000,2014,125000,универсал 5 дв.,синий,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103614262-f85f7fe7/
Kia Ceed I,370000,2008,105100,хэтчбек 5 дв.,красный,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103505684-fe26ac41/
Kia Ceed II Рестайлинг,653000,2016,255271,универсал 5 дв.,коричневый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101315830-8dd36433/
Kia Ceed II,620000,2014,140000,универсал 5 дв.,чёрный,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102082235-49beef87/
Kia Ceed I,410000,2009,225000,хэтчбек 3 дв.,красный,2.0,143,Бензин,5005,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103992006-634a841c/
Kia Ceed I,505000,2009,179000,хэтчбек 5 дв.,серый,1.6,115,Дизель,2875,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103228763-d96503d1/
Kia Ceed II Рестайлинг,1150000,2018,47000,хэтчбек 5 дв.,коричневый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1095640580-e600d80e/
Kia Ceed II Рестайлинг,900000,2015,75000,хэтчбек 3 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1087084797-3cda6e39/
Kia Ceed III,1430000,2020,48000,хэтчбек 5 дв.,серый,1.6,128,"Бензин, газобаллонное оборудование",4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101593396-5c11f7da/
Kia Ceed I Рестайлинг,500000,2011,147300,хэтчбек 5 дв.,белый,1.6,125,Бензин,3125,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103968884-33da74b0/
Kia Ceed I Рестайлинг,550000,2012,123000,хэтчбек 5 дв.,серебристый,1.6,125,Бензин,3125,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103137199-96312a41/
Kia Ceed I Рестайлинг,480000,2011,88500,хэтчбек 5 дв.,чёрный,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103735150-e811fbf4/
Kia Ceed II,590000,2012,148223,хэтчбек 5 дв.,коричневый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102253565-1f2d64b5/
Kia Ceed II Рестайлинг,999999,2018,73156,универсал 5 дв.,белый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103541099-259a66d3/
Kia Ceed I,360000,2008,139500,хэтчбек 3 дв.,синий,1.4,109,Бензин,2725,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103160174-34e0c511/
Kia Ceed III,1500000,2019,63000,универсал 5 дв.,чёрный,1.4,140,Бензин,4900,роботизированная,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102969937-a2eb63f8/
Kia Ceed I,350000,2008,223000,хэтчбек 3 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103842557-7bd7dbb9/
Kia Ceed II Рестайлинг,1099999,2018,55000,универсал 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103087566-0b1f0b89/
Kia Ceed II Рестайлинг,1130000,2015,72000,универсал 5 дв.,серебристый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103967989-4c2ed9eb/
Kia Ceed I,449000,2008,179000,хэтчбек 3 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103962532-c7a75903/
Kia Ceed III,1300000,2018,44095,хэтчбек 5 дв.,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103712900-035842dc/
Kia Ceed I,435000,2009,181000,хэтчбек 5 дв.,серебристый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103741956-4cab97c2/
Kia Ceed II Рестайлинг,1120000,2018,60000,хэтчбек 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103838429-8ea07764/
Kia Ceed II Рестайлинг,820000,2018,100000,хэтчбек 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101353235-e12a1854/
Kia Ceed II,380000,2014,370000,универсал 5 дв.,жёлтый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103621076-b1cb8cdf/
Kia Ceed II,800000,2013,122000,хэтчбек 5 дв.,чёрный,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103788032-d0f9a967/
Kia Ceed II Рестайлинг,1390000,2017,83500,универсал 5 дв.,коричневый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103999738-bd5e13d0/
Kia Ceed II Рестайлинг,1050000,2017,122000,хэтчбек 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103962603-4f797602/
Kia Ceed III,1200000,2018,75000,хэтчбек 5 дв.,чёрный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103972205-b7c37607/
Kia Ceed II,700000,2012,205232,универсал 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104007649-d16fb3a6/
Kia Ceed III,1351000,2019,30200,универсал 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1098691244-4101c5b9/
Kia Ceed II Рестайлинг,1100000,2017,51789,хэтчбек 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103981960-428b613c/
Kia Ceed II Рестайлинг,1270000,2017,15802,хэтчбек 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103724804-56c55c18/
Kia Ceed II,800000,2013,160000,универсал 5 дв.,красный,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103970616-83a1e1b7/
Kia Ceed II,730000,2014,166000,хэтчбек 5 дв.,чёрный,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102454845-2c60e9d8/
Kia Ceed I,440000,2008,310000,хэтчбек 5 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103878590-c584f383/
Kia Ceed I,420000,2008,141504,хэтчбек 5 дв.,коричневый,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103912831-d77331f6/
Kia Ceed II,766000,2014,98630,хэтчбек 5 дв.,красный,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103983127-edc2e89b/
Kia Ceed I,410000,2008,200000,хэтчбек 5 дв.,чёрный,1.6,115,Дизель,2875,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103863187-74f39cca/
Kia Ceed I,414000,2008,337777,хэтчбек 5 дв.,красный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103660652-ca3b19a5/
Kia Ceed II Рестайлинг,1205000,2017,69900,универсал 5 дв.,серый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103933376-3c242d70/
Kia Ceed II,560000,2013,190000,универсал 5 дв.,белый,1.6,129,"Бензин, газобаллонное оборудование",4515,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102910784-f971e87d/
Kia Ceed II,999000,2015,75000,хэтчбек 5 дв.,серый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103533022-a1bc3f03/
Kia Ceed II Рестайлинг,620000,2016,136000,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1099034724-1b64c8e0/
Kia Ceed I,430000,2008,217000,хэтчбек 5 дв.,красный,1.6,115,Дизель,2875,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103562340-ed251211/
Kia Ceed III,1750000,2020,18388,универсал 5 дв.,жёлтый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103351829-0eb75626/
Kia Ceed I Рестайлинг,610000,2012,215000,универсал 5 дв.,серый,1.6,125,Бензин,3125,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104028894-13e79b94/
Kia Ceed I Рестайлинг,700000,2010,164000,универсал 5 дв.,красный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1098319182-e06c1ea8/
Kia Ceed II Рестайлинг,960000,2015,92300,универсал 5 дв.,чёрный,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103967329-ed123ea4/
Kia Ceed II Рестайлинг,785000,2017,121000,универсал 5 дв.,белый,1.6,130,Бензин,4550,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103202928-a45e0888/
Kia Ceed II,675000,2012,82000,хэтчбек 5 дв.,белый,1.6,129,Бензин,4515,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102957685-693830a6/
Kia Ceed III,1199990,2018,115000,хэтчбек 5 дв.,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1101788224-3602707b/
Kia Ceed I,380000,2008,225629,хэтчбек 5 дв.,чёрный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103832378-a64598b2/
Kia Ceed I,450000,2010,239575,хэтчбек 3 дв.,серебристый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103754927-2295fd05/
Kia Ceed I,460000,2009,230000,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103732684-c71a7316/
Kia Ceed I,450000,2008,160000,хэтчбек 3 дв.,красный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102996086-d9d93f09/
Kia Ceed II Рестайлинг,1020000,2018,58700,универсал 5 дв.,жёлтый,1.6,135,Бензин,4725,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1094333596-f6becce3/
Kia Ceed II Рестайлинг,920000,2018,130000,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103763304-bd103f97/
Kia Ceed II Рестайлинг,690000,2017,282500,хэтчбек 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103528149-69248b44/
Kia Ceed II,780000,2015,36200,хэтчбек 5 дв.,белый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103936934-b844c393/
Kia Ceed I Рестайлинг,525000,2011,180000,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103496124-f87f59f5/
Kia Ceed I,395000,2009,215700,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103790830-04ee6e79/
Kia Ceed II,740000,2014,201000,хэтчбек 5 дв.,серый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104023070-d84f4478/
Kia Ceed III,1250000,2019,56100,универсал 5 дв.,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103984562-547dae01/
Kia Ceed I Рестайлинг,420000,2010,290000,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103972934-65e65f9d/
Kia Ceed I Рестайлинг,680000,2012,188000,универсал 5 дв.,белый,1.6,125,Бензин,3125,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103395881-26d5676e/
Kia Ceed II,750000,2013,190000,универсал 5 дв.,коричневый,1.6,129,Бензин,4515,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103444280-1d4a6406/
Kia Ceed I Рестайлинг,630000,2012,174308,хэтчбек 5 дв.,бежевый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103793072-4a0c4146/
Kia Ceed I Рестайлинг,480000,2010,199850,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103824701-db298b31/
Kia Ceed I,435000,2008,171800,хэтчбек 3 дв.,синий,2.0,143,Бензин,5005,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103561868-33a4c603/
Kia Ceed III,1300000,2019,46000,универсал 5 дв.,красный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103517803-ac418860/
Kia Ceed II Рестайлинг,615000,2017,314000,универсал 5 дв.,белый,1.6,130,"Бензин, газобаллонное оборудование",4550,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103259150-49e5fe24/
Kia Ceed I,330000,2008,195600,хэтчбек 5 дв.,синий,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103514851-aab770e4/
Kia Ceed I,490000,2008,225000,хэтчбек 5 дв.,серый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1104049412-a8870649/
Kia Ceed II Рестайлинг,960000,2017,97000,универсал 5 дв.,белый,1.6,130,Бензин,4550,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102870876-d7c7b800/
Kia Ceed II Рестайлинг,550000,2016,250000,универсал 5 дв.,жёлтый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1103198801-38ac4f8d/
Kia Ceed II,435000,2014,279761,универсал 5 дв.,жёлтый,1.4,100,Бензин,1200,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/ceed/1102275029-4b4fbf47/
