Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Kia Sorento III Prime,1870000,2015,84243,внедорожник 5 дв.,чёрный,2.2,200,Дизель,10000,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103276779-a78dff0f/

Kia Sorento II Рестайлинг,1700000,2019,28000,внедорожник 5 дв.,синий,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103262769-a3c551ed/

Kia Sorento II,1240000,2012,149426,внедорожник 5 дв.,чёрный,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103644975-970bd412/

Kia Sorento II Рестайлинг,1489000,2015,178703,внедорожник 5 дв.,белый,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103037611-ce71b83a/

Kia Sorento II Рестайлинг,1348000,2015,102103,внедорожник 5 дв.,бежевый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103720649-ceac0126/

Kia Sorento III Prime,1875000,2017,192757,внедорожник 5 дв.,чёрный,3.3,250,Бензин,18750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103551797-9fe2d508/

Kia Sorento II,1070000,2011,228646,внедорожник 5 дв.,чёрный,2.2,197,Дизель,9850,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1103405831-fbd9b7df/

Kia Sorento II,1165000,2012,101742,внедорожник 5 дв.,серебристый,2.4,175,Бензин,7875,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/kia/sorento/1102408549-269397d5/

