Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Kia Optima IV,1285000,2016,102000,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104782933-5583e09e/
Kia Optima IV Рестайлинг,1380000,2019,86659,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104799292-688ffc23/
Kia Optima III,865000,2012,169000,седан,белый,2.4,180,Бензин,8820,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104799064-4ee2739f/
Kia Optima IV Рестайлинг,1319000,2018,152000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104802591-446dd910/
Kia Optima IV Рестайлинг,1440000,2019,28112,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104797821-c84f27ed/
Kia Optima IV Рестайлинг,1440000,2019,28112,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104797821-c84f27ed/
Kia Optima IV,1415000,2018,115916,седан,синий,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104793373-deb22504/
Kia Optima IV Рестайлинг,1550000,2019,27717,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104791741-6736fb70/
Kia Optima IV Рестайлинг,1310000,2019,103000,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104849448-ae595ea3/
Kia Optima IV,1338000,2017,126356,седан,чёрный,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/kia/optima/1104791720-7ceb2ad1/
