Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Sonata VII (LF) Рестайлинг,1414000,2018,22765,седан,серебристый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104602433-dcbc634e/
Hyundai Sonata VIII (DN8),2147000,2021,12101,седан,белый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104700418-35336170/
Hyundai Sonata VII (LF) Рестайлинг,1467000,2019,28591,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104672401-24fca867/
Hyundai Sonata VII (LF) Рестайлинг,1470000,2019,73000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104898239-349b9f0d/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,365000,2007,200000,седан,чёрный,2.7,172,Бензин,7740,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104898032-5bca3bde/
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,365000,2007,200000,седан,чёрный,2.7,172,Бензин,7740,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104898032-5bca3bde/
Hyundai Sonata VI (YF),620000,2010,176000,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104677741-d4774852/
Hyundai Sonata VII (LF) Рестайлинг,950000,2019,99000,седан,жёлтый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104791017-33482e08/
Hyundai Sonata VIII (DN8),1974000,2020,19953,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104793392-55603069/
Hyundai Sonata VIII (DN8),2437000,2020,13886,седан,серый,2.5,180,Бензин,9000,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104790733-74b001d2/
Hyundai Sonata VII (LF) Рестайлинг,1714000,2019,42326,седан,белый,2.4,188,Бензин,9400,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/sonata/1104780763-507983c6/
