Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Mazda 6 III (GJ) Рестайлинг,1449000,2016,71933,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103506098-bc52ac7f/

Mazda 6 III (GJ) Рестайлинг,1340000,2015,100170,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103505116-46b5732f/

Mazda 6 II (GH) Рестайлинг,720000,2011,190129,седан,белый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103405840-9e827523/

Mazda 6 III (GJ),980000,2013,105272,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102837499-a2a2c6f8/

Mazda 6 III (GJ),1035000,2012,116613,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103658315-acadc432/

Mazda 6 III (GJ) Рестайлинг 2,2100000,2019,67526,седан,синий,2.5,194,Бензин,9506,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103710322-b7eb1bfd/

Mazda 6 III (GJ) Рестайлинг,1470000,2017,75946,седан,коричневый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103369611-02e86a9c/

Mazda 6 III (GJ) Рестайлинг,2075000,2018,32351,седан,красный,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103715316-aed47ada/

Mazda 6 III (GJ),1120000,2014,109600,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103463199-7fb66172/

Mazda 6 II (GH),597000,2008,150000,лифтбек,фиолетовый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1102919073-09213a1b/

Mazda 6 III (GJ) Рестайлинг,1409000,2017,69725,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103297922-46176dcb/

Mazda 6 I (GG) Рестайлинг,399000,2007,184853,седан,чёрный,1.8,120,Бензин,4080,механическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103705627-88f617a8/

Mazda 6 III (GJ),874000,2014,149626,седан,чёрный,2.0,145,Бензин,5075,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103389971-f89a4983/

Mazda 6 II (GH),569000,2008,169000,седан,серый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103247310-1b291738/

Mazda 6 III (GJ),1159000,2014,56000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103692225-02d23f37/

Mazda 6 III (GJ) Рестайлинг,1887000,2018,115979,седан,синий,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103698571-87214d20/

Mazda 6 III (GJ) Рестайлинг,1590000,2018,30000,седан,серый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103056923-31187a45/

Mazda 6 I (GG) Рестайлинг,537000,2007,200000,универсал 5 дв.,синий,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103693320-2c075992/

Mazda 6 III (GJ),1125000,2013,91968,седан,белый,2.5,192,Бензин,9600,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103390103-c701bad4/

Mazda 6 III (GJ) Рестайлинг,1470253,2016,41977,седан,красный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103354593-2b438cfa/

Mazda 6 I (GG) Рестайлинг,410000,2006,196569,седан,зелёный,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103693283-052325fb/

Mazda 6 III (GJ) Рестайлинг,1380000,2017,64000,седан,красный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103201173-12b0dfd3/

Mazda 6 III (GJ) Рестайлинг,1012000,2015,195208,седан,белый,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103351499-f60740fc/

Mazda 6 II (GH) Рестайлинг,845000,2011,124000,седан,белый,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103399319-8b5411f1/

Mazda 6 I (GG) Рестайлинг,345000,2005,195000,седан,пурпурный,2.0,147,Бензин,5145,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103761151-12a067f5/

Mazda 6 II (GH),539000,2008,198247,седан,чёрный,2.0,147,Бензин,4998,автоматическая,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103103174-6ece63d1/

Mazda 6 II (GH) Рестайлинг,699000,2012,228656,лифтбек,белый,1.8,120,Бензин,3000,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103622521-5ed8e8c6/

Mazda 6 III (GJ),1150000,2014,126338,седан,красный,2.0,150,Бензин,5250,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/mazda/6/1103677858-19393e96/

