Название,"Цена, руб.",Год выпуска,"Пробег, км.",Кузов,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Двигатель,"Налог, руб.",Коробка передач,Руль,Состояние,Число владельцев,ПТС,Таможня,URL адрес
Skoda Rapid I Рестайлинг,899000,2019,36591,лифтбек,серебристый,1.6,90,Бензин,900,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103635480-ae94dfb8/
Skoda Rapid I Рестайлинг,879000,2018,90040,лифтбек,коричневый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103311750-59ffcf35/
Skoda Rapid I Рестайлинг,739000,2017,101938,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103656010-f68dd955/
Skoda Rapid I,685000,2014,126030,лифтбек,синий,1.6,105,Бензин,2625,автоматическая,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103535522-b5e7ebe5/
Skoda Rapid I Рестайлинг,919000,2017,27700,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103708038-617499ec/
Skoda Rapid I Рестайлинг,965000,2019,17988,лифтбек,синий,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103532890-3aba7c0b/
Skoda Rapid I Рестайлинг,1130000,2019,34600,лифтбек,бежевый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103387814-999cb3bd/
Skoda Rapid I,555000,2016,326683,лифтбек,жёлтый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1102942281-f832f37e/
Skoda Rapid I,765000,2016,74254,лифтбек,чёрный,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103701519-b08133f5/
Skoda Rapid I,729000,2016,123089,лифтбек,синий,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103384629-643910f9/
Skoda Rapid I,430000,2016,300000,лифтбек,белый,1.6,90,Бензин,1080,механическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103762815-a708f4e4/
Skoda Rapid I Рестайлинг,1099000,2019,21326,лифтбек,белый,1.6,110,Бензин,2750,автоматическая,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103700239-ffaa5674/
Skoda Rapid I,599000,2015,78986,лифтбек,серый,1.6,110,Бензин,2750,механическая,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1102448463-a3e12d35/
Skoda Rapid I Рестайлинг,860000,2017,73800,лифтбек,белый,1.4,125,Бензин,3125,роботизированная,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,https://auto.ru/cars/used/sale/skoda/rapid/1103533102-d4b22248/
